Key,Category,Type (observed),คำอธิบายสำหรับ End User,ความหมาย (TH),หลักฐานใน repo
active_users,Engagement,number,ผู้ใช้งานที่แอคทีฟ,จำนวนผู้ใช้ที่ active ใน window (นิยามในโค้ด: ผู้ใช้ที่ recency_days < window_size_days ณ window_end_date),src/features.py::_compute_engagement_features
active_users_delta_window,Total Delta,number,ผู้ใช้งานที่แอคทีฟ เปลี่ยนจากช่วงก่อน,ค่าเปลี่ยนแปลงของ active_users เทียบ window ก่อนหน้า (current - prev_window),src/infer.py::_add_total_metric_deltas src/driver_mapping.py::METRIC_FAMILY_CONFIG
active_users_mom_pct,Trends,number,ผู้ใช้งานที่แอคทีฟ เทียบ 4 ช่วง,เปอร์เซ็นต์เปลี่ยนเทียบ 4 windows ก่อนหน้า (period=4) ของ active_users ภายใน brand_id+window_size,src/features.py::_add_relative_and_trend_features
active_users_prev_window,Total Delta,number,ผู้ใช้งานที่แอคทีฟ ค่าเดิมช่วงก่อน,ค่า active_users ของ window ก่อนหน้า (shift=1 ภายใน brand_id+window_size),src/infer.py::_add_total_metric_deltas src/driver_mapping.py::METRIC_FAMILY_CONFIG
active_users_volatility,Trends,number,ผู้ใช้งานที่แอคทีฟ ความผันผวน,ความผันผวน = rolling_std / abs(rolling_mean) ของ active_users ภายใน brand_id+window_size,src/features.py::_add_relative_and_trend_features
active_users_wow_pct,Trends,number,ผู้ใช้งานที่แอคทีฟ เทียบช่วงก่อน,เปอร์เซ็นต์เปลี่ยนเทียบ window ก่อนหน้า (period=1) ของ active_users ภายใน brand_id+window_size,src/features.py::_add_relative_and_trend_features
active_users_wow_pct_window,Total Delta,number,ผู้ใช้งานที่แอคทีฟ %เทียบช่วงก่อน,เปอร์เซ็นต์เปลี่ยนของ active_users เทียบ window ก่อนหน้า (delta/prev_window เมื่อ prev!=0; ไม่เช่นนั้นเป็น null),src/infer.py::_add_total_metric_deltas src/driver_mapping.py::METRIC_FAMILY_CONFIG
active_users_zscore,Trends,number,ผู้ใช้งานที่แอคทีฟ ผิดปกติเทียบฐาน,z-score เทียบ baseline แบบ rolling ของ active_users ภายใน brand_id+window_size,src/features.py::_add_relative_and_trend_features
activity_completed_events,Activity,number,กิจกรรมที่สำเร็จ,จำนวน activity events ที่ completed ใน window (ใช้ is_completed),src/features.py::_compute_activity_features
activity_completion_rate,Activity,number,อัตราการทำกิจกรรมสำเร็จ,อัตรา completion ใน window (activity_completed_events / activity_events),src/features.py::_compute_activity_features
activity_completion_rate_delta_window,Total Delta,number,อัตราการทำกิจกรรมสำเร็จ เปลี่ยนจากช่วงก่อน,ค่าเปลี่ยนแปลงของ activity_completion_rate เทียบ window ก่อนหน้า (current - prev_window),src/infer.py::_add_total_metric_deltas src/driver_mapping.py::METRIC_FAMILY_CONFIG
activity_completion_rate_mom_pct,Trends,number,อัตราการทำกิจกรรมสำเร็จ เทียบ 4 ช่วง,เปอร์เซ็นต์เปลี่ยนเทียบ 4 windows ก่อนหน้า (period=4) ของ activity_completion_rate ภายใน brand_id+window_size,src/features.py::_add_relative_and_trend_features
activity_completion_rate_prev_window,Total Delta,number,อัตราการทำกิจกรรมสำเร็จ ค่าเดิมช่วงก่อน,ค่า activity_completion_rate ของ window ก่อนหน้า (shift=1 ภายใน brand_id+window_size),src/infer.py::_add_total_metric_deltas src/driver_mapping.py::METRIC_FAMILY_CONFIG
activity_completion_rate_volatility,Trends,number,อัตราการทำกิจกรรมสำเร็จ ความผันผวน,ความผันผวน = rolling_std / abs(rolling_mean) ของ activity_completion_rate ภายใน brand_id+window_size,src/features.py::_add_relative_and_trend_features
activity_completion_rate_wow_pct,Trends,number,อัตราการทำกิจกรรมสำเร็จ เทียบช่วงก่อน,เปอร์เซ็นต์เปลี่ยนเทียบ window ก่อนหน้า (period=1) ของ activity_completion_rate ภายใน brand_id+window_size,src/features.py::_add_relative_and_trend_features
activity_completion_rate_wow_pct_window,Total Delta,number,อัตราการทำกิจกรรมสำเร็จ %เทียบช่วงก่อน,เปอร์เซ็นต์เปลี่ยนของ activity_completion_rate เทียบ window ก่อนหน้า (delta/prev_window เมื่อ prev!=0; ไม่เช่นนั้นเป็น null),src/infer.py::_add_total_metric_deltas src/driver_mapping.py::METRIC_FAMILY_CONFIG
activity_completion_rate_zscore,Trends,number,อัตราการทำกิจกรรมสำเร็จ ผิดปกติเทียบฐาน,z-score เทียบ baseline แบบ rolling ของ activity_completion_rate ภายใน brand_id+window_size,src/features.py::_add_relative_and_trend_features
activity_enrichment_joinable,Joinability,number,มีข้อมูลพฤติกรรมเสริม,"ธง (0/1) ว่าแบรนด์นี้ “ใช้ตาราง enrichment (user_view, user_visitor) ร่วมกับ activity ได้” (ตัดสินจาก join coverage ของ activity_transaction.user_id)",run_pipeline.py::_compute_activity_enrichment_joinable src/data_load.py::validate_join_coverage src/segments.py::compute_segment_kpis
activity_events,Activity,number,อีเวนต์กิจกรรม,จำนวน activity events ใน window (นับจาก activity_transaction),src/features.py::_compute_activity_features
activity_name_entropy,Activity,number,ความหลากหลายชื่อกิจกรรม,entropy ของ distribution ของ activity_name (top-6 names) ภายใน window,src/features.py::_entropy_and_top_share src/features.py::_compute_activity_features
activity_name_top_share,Activity,number,ความกระจุกชื่อกิจกรรม,สัดส่วนของ activity_name ที่มากที่สุด (top share) ใน window (top-6 names),src/features.py::_entropy_and_top_share src/features.py::_compute_activity_features
activity_points_per_active,Activity,number,แต้มต่อผู้ใช้,แต้มต่อ active user ใน window (activity_points_sum / active_users),src/features.py::_compute_activity_features
activity_points_per_active_wow_pct,Trends,number,แต้มต่อผู้ใช้ เทียบช่วงก่อน,WoW percent change ของ activity_points_per_active — ยังไม่พบหลักฐานใน repo ว่าถูกคำนวณใน stage feature engineering (ค้นใน src/features.py แล้วไม่พบการสร้างคอลัมน์นี้); หากไม่มีคอลัมน์นี้จะถูกเติมค่าเริ่มต้น 0.0 ใน weak labeling และถูกใช้เป็น heuristic ของ driver/label,src/labeling.py::generate_weak_labels src/drivers.py::build_metric_drivers
activity_points_sum,Activity,number,แต้มรวม,ผลรวมแต้ม (points) ใน window,src/features.py::_compute_activity_features
activity_redeem_count,Activity,number,จำนวนการแลก,จำนวน redeem proxy events ใน window (match token redeem\|consume\|burn\|use ใน activity_type หรือ activity_name),src/features.py::_compute_activity_features
activity_redeem_per_active,Activity,number,การแลกต่อผู้ใช้,redeem proxy ต่อ active user ใน window (activity_redeem_count / active_users),src/features.py::_compute_activity_features
activity_redeem_rate,Activity,number,อัตราแลก (โดยประมาณ),อัตรา redeem proxy ใน window (activity_redeem_count / activity_events),src/features.py::_compute_activity_features
activity_redeem_rate_delta_window,Total Delta,number,อัตราแลก (โดยประมาณ) เปลี่ยนจากช่วงก่อน,ค่าเปลี่ยนแปลงของ activity_redeem_rate เทียบ window ก่อนหน้า (current - prev_window),src/infer.py::_add_total_metric_deltas src/driver_mapping.py::METRIC_FAMILY_CONFIG
activity_redeem_rate_mom_pct,Trends,number,อัตราแลก (โดยประมาณ) เทียบ 4 ช่วง,เปอร์เซ็นต์เปลี่ยนเทียบ 4 windows ก่อนหน้า (period=4) ของ activity_redeem_rate ภายใน brand_id+window_size,src/features.py::_add_relative_and_trend_features
activity_redeem_rate_prev_window,Total Delta,number,อัตราแลก (โดยประมาณ) ค่าเดิมช่วงก่อน,ค่า activity_redeem_rate ของ window ก่อนหน้า (shift=1 ภายใน brand_id+window_size),src/infer.py::_add_total_metric_deltas src/driver_mapping.py::METRIC_FAMILY_CONFIG
activity_redeem_rate_volatility,Trends,number,อัตราแลก (โดยประมาณ) ความผันผวน,ความผันผวน = rolling_std / abs(rolling_mean) ของ activity_redeem_rate ภายใน brand_id+window_size,src/features.py::_add_relative_and_trend_features
activity_redeem_rate_wow_pct,Trends,number,อัตราแลก (โดยประมาณ) เทียบช่วงก่อน,เปอร์เซ็นต์เปลี่ยนเทียบ window ก่อนหน้า (period=1) ของ activity_redeem_rate ภายใน brand_id+window_size,src/features.py::_add_relative_and_trend_features
activity_redeem_rate_wow_pct_window,Total Delta,number,อัตราแลก (โดยประมาณ) %เทียบช่วงก่อน,เปอร์เซ็นต์เปลี่ยนของ activity_redeem_rate เทียบ window ก่อนหน้า (delta/prev_window เมื่อ prev!=0; ไม่เช่นนั้นเป็น null),src/infer.py::_add_total_metric_deltas src/driver_mapping.py::METRIC_FAMILY_CONFIG
activity_redeem_rate_zscore,Trends,number,อัตราแลก (โดยประมาณ) ผิดปกติเทียบฐาน,z-score เทียบ baseline แบบ rolling ของ activity_redeem_rate ภายใน brand_id+window_size,src/features.py::_add_relative_and_trend_features
activity_type_entropy,Activity,number,ความหลากหลายประเภทกิจกรรม,entropy ของ distribution ของ activity_type (พิจารณาเฉพาะ top-6 types ในข้อมูล) ภายใน window,src/features.py::_entropy_and_top_share src/features.py::_compute_activity_features
activity_type_login_completion_rate,Activity,number,อัตราสำเร็จ login,completion rate ของ activity_type ที่ถูก slug เป็น login ภายใน window (completed/count สำหรับ type นั้น),src/features.py::_slug src/features.py::_compute_activity_features
